Ledgercode,Ledgername
33600,SATIŞ AMAÇLI ELDE TUTULAN DURAN VARLIK BORÇLARI
33600,YATIRIM FONU KATILIM BELGELERİ
33700,HİSSE SENETLERİ
33700,SATIŞ AMAÇLI ELDE TUTULAN DURAN VARLIK BORÇLARI
38013,HİSSE SENETLERİ
38013,İNŞAAT VE ONARIM ÖDEMELERİNDEN KESİLEN GELİR VERGİSİ
380130,BORSAYA KOTE EDİLEN HİSSE SENETLERİ
380130,YILLARA SARİ İNŞAAT VE ONARIM İŞLEMLERİNDEN KESİLEB VERGİ
38019,DİĞER
38019,DİĞER VERGİLER
380190,SATILMAYA HAZIR MENKUL DEĞERLER DEĞER DÜŞÜŞ KARŞILIĞI-SUKUK
380190,ÖDENECEK ÖZEL İŞLEM VERGİLERİ
39005,SERMAYEDE PAYI TEMSİL EDEN DİĞER MENKUL KIYMETLER
39005,TÜREV FİNANSAL ARAÇLARDAN BORÇLAR
39006,ELEKTRONİK PARA FONLARI
39006,GELİRE BAĞLI SENETLER
390060,ELEKTRONİK PARA KURULUŞLARI
390060,KİRA SERT.-AL.SAT.-DEĞ. DÜŞ. KARŞ.-HAZİNE-YP
390061,BANKALAR
390061,KİRA SERT.-AL.SAT.-DEĞ. DÜŞ. KARŞ.-ÖZEL-YP
50001,BANKALAR
50001,İŞTİRAKLER VE BAĞLI ORTAKLIKLAR
500010,BANKALAR
500010,ÖZKAYNAKLARDAN
5000100,BANKALAR
5000100,TL
50010,DİĞER MÜŞTERİLER- (KAMU)
50010,MERKEZ BANKALARI
500100,MERKEZ BANKALARI
500100,ÖZKAYNAKLARDAN
5001000,MERKEZ BANKALARI
5001000,TL
50011,BANKALAR
50011,DİĞER MÜŞTERİLER- (ÖZEL)
500110,BANKALAR
500110,ÖZKAYNAKLARDAN
5001100,BANKALAR
5001100,TL
51001,BANKALAR
51001,İŞTİRAKLER VE BAĞLI ORTAKLIKLAR
510010,BANKALAR
510010,ÖZKAYNAKLARDAN
5100100,BANKALAR
5100100,TL
51003,DİĞER MALİ KURUM VE KURULUŞLAR
51003,İŞTİRAKLER VE BAĞLI ORTAKLIKLAR KEFALETİYLE
510030,DİĞER MALİ KURUM VE KURULUŞLAR
510030,ÖZKAYNAKLARDAN
5100300,DİĞER MALİ KURUM VE KURULUŞLAR
5100300,TL
51010,DİĞER MÜŞTERİLER - (KAMU)
51010,MERKEZ BANKALARI
510100,MERKEZ BANKALARI
510100,ÖZKAYNAKLARDAN
5101000,MERKEZ BANKALARI
5101000,TL
51011,BANKALAR
51011,DİĞER MÜŞTERİLER - (ÖZEL)
510110,BANKALAR
510110,ÖZKAYNAKLARDAN
5101100,BANKALAR
5101100,TL
